PAGE,TAG,GRAPHIC,TITLE,DESCRIPTION,TEXT SIZE,GRAPHIC SCALE
1,Home,,目錄,,32,
2,Human,Bandit,盜賊,對盜賊而言，合約就是唯一的教條，被黃金雇傭帶給他們榮耀。這些雇傭兵不受良心拘束，仗恃殘暴卻有效的手段。他們是致命的刺客、隱匿的高手，總是在獵物背後潛行刺殺要害，在受害者倒地之前便消失無影。盜賊經常自暗處意外出沒，惡毒地近身突襲對手。在持久戰之中，他們所採取的是小心翼翼地連續攻擊，不斷削弱對手直到一擊斃命。盜賊在選擇對手時需特別謹慎，以免浪費連擊的效果；而他們也必須保持警覺，在戰況不利時隱匿或逃脫。,32,2
3,Human,Warrior_m,男戰士,聖騎士的號召：保護弱者、維持公義並擊敗來自世界暗黑角落的邪惡勢力。這些聖戰士們穿戴著重裝甲以對付最剽悍的敵人，而聖光的庇佑可使他們傷口痊癒，甚至可使死人復活。,32,2
4,Human,Warrior_f,女戰士,近來的發現顯示，人類是未開化的維酷人後裔。維酷人是一群居住在北裂境的半巨人戰士。早期的人類，幾千年來主要以部族的形式散居各地，直到食人妖帝國的強權興起，迫使各部族策略性的統一。阿拉索王國及其首都激流城邦，便由此而生。,32,2
5,Monster,Spider,蜘蛛,好可愛。,32,2
6,Monster,Slime,史萊姆,又名「鬼口水」。,32,3
7,Monster,bane,噩夢之源,如果神明做了噩夢，那一定是禍亂之源帶來的。被稱為阿特洛波斯的禍亂之源誕生自女神妮塔莎午夜的恐懼。永生的女神在漫長的時間中孕育了過強的恐懼，已經無法用睡眠抑制，於是，禍亂之源在不斷蠶食女神的不朽之身後，從她的軀體中逃脫了，他霧狀的身形源自女神墨色的鮮血。他的存在就是恐懼本身。聽見他聲音的凡人會感覺他們心中最陰暗的秘密在耳邊低語。他呼喚着所有英雄內心隱藏的恐懼。就算不眠不休亦無濟於事，因為禍亂之源會用他不停滴落的黑色血液把敵人困在噩夢中。只要禍亂之源一出現，所有英雄心中都會想起那可怖的黑暗。,32,1.5
8,Plant,Lamia,拉米亞,拉米亞（希臘語：Λάμια）[1]，是古希臘神話中一頭半人半蛇的女性怪物，亦是在西方以獵殺小孩聞名的蛇妖。在古希臘、羅馬的神話中，有很多像拉米亞般有著殺害孩童舉動的女妖，而拉米亞的特徵正在於其上半身為嬌艷女性，下半身卻是蛇類。[2] 其名字拉米亞來自希臘語「Λάμιος」，意指「食道」，象徵「貪欲」，描述拉米亞吞食兒童的形象。,32,1.5
9,Plant,,不存在的植物,這頁沒有圖片。想看看放空會不會出bug,32,
10,Weapon,Fairy,精靈,精靈（英語：elf）或翻譯為艾爾夫，原義是指靈魂、鬼神、妖怪和聰明靈敏。在翻譯外國文學中，是一種耳朵尖長而漂亮美麗的類人形傳說生物，源自北歐的古老傳說。許多精靈被描繪成高大而且美麗無比，但是有時候也被歸類為「小人兒」或妖精，身材比較瘦小，有的背上長有昆蟲翅膀。由於這種生物的譯名眾說紛紜，而不同的譯名同時亦會使人誤會為另有所指，而與小仙子（fairy）、小惡魔（imp）等混淆。,32,2
11,Weapon,Dragon,神龍,這頁的字體會特別大。,64,1.5
12,Weapon,Death,死神,很帥。,32,1.5
